Tabelle: 12711-0008
Migration between Germany and foreign countries:;;;;;;;;;
Germany, years, nationality, countries of origin /;;;;;;;;;
destination;;;;;;;;;
Migration statistics;;;;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;;;;
;Germans;;;;;;Foreigners;;;;;;Total;;;;;
;Arrivals from foreign countries;;Departures to foreign countries;;Migration balance;;Arrivals from foreign countries;;Departures to foreign countries;;Migration balance;;Arrivals from foreign countries;;Departures to foreign countries;;Migration balance;
;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
2000;;;;;;;;;;;;;;;;;;
Belgium;2162;e;2230;e;-68;e;2421;e;1990;e;431;e;4583;e;4220;e;363;e
Bulgaria;153;e;108;e;45;e;10308;e;6639;e;3669;e;10461;e;6747;e;3714;e
Denmark;587;e;696;e;-109;e;2648;e;2109;e;539;e;3235;e;2805;e;430;e
Estonia;136;e;30;e;106;e;935;e;609;e;326;e;1071;e;639;e;432;e
Finland;215;e;247;e;-32;e;2799;e;2553;e;246;e;3014;e;2800;e;214;e
France;5633;e;6603;e;-970;e;15853;e;12812;e;3041;e;21486;e;19415;e;2071;e
Croatia;296;e;278;e;18;e;14069;e;12987;e;1082;e;14365;e;13265;e;1100;e
Slovenia;88;e;124;e;-36;e;1862;e;1888;e;-26;e;1950;e;2012;e;-62;e
Greece;958;e;999;e;-41;e;17400;e;18384;e;-984;e;18358;e;19383;e;-1025;e
Ireland;515;e;770;e;-255;e;2210;e;2289;e;-79;e;2725;e;3059;e;-334;e
Italy;2623;e;3077;e;-454;e;32762;e;33630;e;-868;e;35385;e;36707;e;-1322;e
Latvia;239;e;75;e;164;e;1960;e;1376;e;584;e;2199;e;1451;e;748;e
Lithuania;330;e;52;e;278;e;3054;e;1647;e;1407;e;3384;e;1699;e;1685;e
Luxembourg;512;e;648;e;-136;e;927;e;661;e;266;e;1439;e;1309;e;130;e
Malta;49;e;61;e;-12;e;59;e;51;e;8;e;108;e;112;e;-4;e
Netherlands;3838;e;3665;e;173;e;7169;e;5646;e;1523;e;11007;e;9311;e;1696;e
Austria;3650;e;5225;e;-1575;e;12314;e;9887;e;2427;e;15964;e;15112;e;852;e
Poland;19961;e;10968;e;8993;e;74144;e;60441;e;13703;e;94105;e;71409;e;22696;e
Portugal;874;e;924;e;-50;e;11212;e;12402;e;-1190;e;12086;e;13326;e;-1240;e
Romania;1079;e;396;e;683;e;24191;e;16764;e;7427;e;25270;e;17160;e;8110;e
Slovakia;124;e;101;e;23;e;10755;e;8621;e;2134;e;10879;e;8722;e;2157;e
Sweden;513;e;914;e;-401;e;3394;e;2802;e;592;e;3907;e;3716;e;191;e
Spain;5747;e;6750;e;-1003;e;9137;e;9370;e;-233;e;14884;e;16120;e;-1236;e
Czechia;911;e;621;e;290;e;11341;e;8747;e;2594;e;12252;e;9368;e;2884;e
Hungary;823;e;741;e;82;e;16049;e;14232;e;1817;e;16872;e;14973;e;1899;e
Cyprus;156;e;135;e;21;e;153;e;118;e;35;e;309;e;253;e;56;e
2001;;;;;;;;;;;;;;;;;;
Belgium;2147;e;2285;e;-138;e;2556;e;1970;e;586;e;4703;e;4255;e;448;e
Bulgaria;177;e;106;e;71;e;13295;e;7942;e;5353;e;13472;e;8048;e;5424;e
Denmark;656;e;722;e;-66;e;2580;e;2094;e;486;e;3236;e;2816;e;420;e
Estonia;118;e;54;e;64;e;914;e;590;e;324;e;1032;e;644;e;388;e
Finland;187;e;252;e;-65;e;2546;e;2406;e;140;e;2733;e;2658;e;75;e
France;5411;e;6630;e;-1219;e;14451;e;12604;e;1847;e;19862;e;19234;e;628;e
Croatia;247;e;260;e;-13;e;13861;e;13973;e;-112;e;14108;e;14233;e;-125;e
Slovenia;79;e;110;e;-31;e;2605;e;2406;e;199;e;2684;e;2516;e;168;e
