Tabelle: 13311-0001
Persons in employment, employees, self-employed persons and;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
family workers (domestic concept): Germany, years,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
economic sections;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Regional employment accounts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;1991;;1992;;1993;;1994;;1995;;1996;;1997;;1998;;1999;;2000;;2001;;2002;;2003;;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;;2024;;2025;
WZ08-A;Agriculture, forestry and fishing;Persons in employment (domestic concept);1000;1175.0;e;1037.0;e;960.0;e;921.0;e;865.0;e;810.0;e;786.0;e;778.0;e;773.0;e;765.0;e;734.0;e;716.0;e;705.0;e;703.0;e;679.0;e;663.0;e;664.0;e;659.0;e;653.0;e;645.0;e;651.0;e;649.0;e;642.0;e;640.0;e;635.0;e;624.0;e;608.0;e;606.0;e;599.0;e;586.0;e;579.0;e;577.0;p;570.0;p;565.0;p;562.0;p
;;Employees (domestic concept);1000;510.0;e;394.0;e;351.0;e;345.0;e;339.0;e;324.0;e;323.0;e;324.0;e;326.0;e;329.0;e;311.0;e;306.0;e;306.0;e;316.0;e;303.0;e;297.0;e;305.0;e;307.0;e;312.0;e;310.0;e;322.0;e;330.0;e;335.0;e;347.0;e;354.0;e;354.0;e;353.0;e;356.0;e;359.0;e;359.0;e;358.0;e;360.0;p;355.0;p;355.0;p;354.0;p
;;Self-employed persons a. family workers (domestic);1000;665.0;e;643.0;e;609.0;e;576.0;e;526.0;e;486.0;e;463.0;e;454.0;e;447.0;e;436.0;e;423.0;e;410.0;e;399.0;e;387.0;e;376.0;e;366.0;e;359.0;e;352.0;e;341.0;e;335.0;e;329.0;e;319.0;e;307.0;e;293.0;e;281.0;e;270.0;e;255.0;e;250.0;e;240.0;e;227.0;e;221.0;e;217.0;p;215.0;p;210.0;p;208.0;p
WZ08-B-F;Industry;Persons in employment (domestic concept);1000;13858.0;e;13156.0;e;12588.0;e;12264.0;e;12124.0;e;11806.0;e;11534.0;e;11470.0;e;11371.0;e;11365.0;e;11157.0;e;10833.0;e;10496.0;e;10303.0;e;10091.0;e;9999.0;e;10146.0;e;10318.0;e;10159.0;e;10040.0;e;10228.0;e;10393.0;e;10437.0;e;10494.0;e;10515.0;e;10556.0;e;10667.0;e;10849.0;e;10933.0;e;10783.0;e;10693.0;e;10738.0;p;10757.0;p;10667.0;p;10499.0;p
;;Employees (domestic concept);1000;13264.0;e;12543.0;e;11956.0;e;11612.0;e;11450.0;e;11110.0;e;10833.0;e;10765.0;e;10658.0;e;10647.0;e;10439.0;e;10109.0;e;9769.0;e;9567.0;e;9326.0;e;9222.0;e;9360.0;e;9530.0;e;9371.0;e;9253.0;e;9437.0;e;9598.0;e;9641.0;e;9708.0;e;9741.0;e;9793.0;e;9911.0;e;10099.0;e;10200.0;e;10059.0;e;9995.0;e;10062.0;p;10105.0;p;10034.0;p;9878.0;p
;;Self-employed persons a. family workers (domestic);1000;594.0;e;613.0;e;632.0;e;652.0;e;674.0;e;696.0;e;701.0;e;705.0;e;713.0;e;718.0;e;718.0;e;724.0;e;727.0;e;736.0;e;765.0;e;777.0;e;786.0;e;788.0;e;788.0;e;787.0;e;791.0;e;795.0;e;796.0;e;786.0;e;774.0;e;763.0;e;756.0;e;750.0;e;733.0;e;724.0;e;698.0;e;676.0;p;652.0;p;633.0;p;621.0;p
WZ08-B-E;Industry, except construction;Persons in employment (domestic concept);1000;10970.0;e;10156.0;e;9474.0;e;9009.0;e;8804.0;e;8584.0;e;8424.0;e;8460.0;e;8408.0;e;8477.0;e;8462.0;e;8285.0;e;8067.0;e;7954.0;e;7821.0;e;7733.0;e;7841.0;e;8023.0;e;7849.0;e;7711.0;e;7858.0;e;7990.0;e;8020.0;e;8064.0;e;8087.0;e;8107.0;e;8184.0;e;8323.0;e;8374.0;e;8190.0;e;8078.0;e;8104.0;p;8118.0;p;8062.0;p;7916.0;p
;;Employees (domestic concept);1000;10652.0;e;9837.0;e;9150.0;e;8681.0;e;8477.0;e;8259.0;e;8102.0;e;8141.0;e;8097.0;e;8171.0;e;8159.0;e;7984.0;e;7765.0;e;7645.0;e;7509.0;e;7424.0;e;7534.0;e;7715.0;e;7544.0;e;7411.0;e;7565.0;e;7703.0;e;7737.0;e;7788.0;e;7813.0;e;7834.0;e;7915.0;e;8057.0;e;8119.0;e;7934.0;e;7835.0;e;7871.0;p;7899.0;p;7852.0;p;7709.0;p
;;Self-employed persons a. family workers (domestic);1000;318.0;e;319.0;e;324.0;e;328.0;e;327.0;e;325.0;e;322.0;e;319.0;e;311.0;e;306.0;e;303.0;e;301.0;e;302.0;e;309.0;e;312.0;e;309.0;e;307.0;e;308.0;e;305.0;e;300.0;e;293.0;e;287.0;e;283.0;e;276.0;e;274.0;e;273.0;e;269.0;e;266.0;e;255.0;e;256.0;e;243.0;e;233.0;p;219.0;p;210.0;p;207.0;p
WZ08-B;Mining and quarrying;Persons in employment (domestic concept);1000;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;.;;76.0;e;74.0;e;71.0;e;68.0;e;67.0;e;63.0;e;61.0;e;59.0;e;55.0;e;53.0;e;48.0;e;46.0;e;43.0;e;42.0;e;42.0;p;40.0;p;39.0;p;...;
